SRR,Published,spot_numbers,read_length,URL,SRX,Strategy,Selection,Single_Paired,ILLUMINA,Instrument,SRP,Bioproject,SRS,Biosample,Species,GSM,SRA
SRR8692601,6/11/19 20:52,8957073,287,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR8692601/SRR8692601.1,SRX5488466,RNA-Seq,size fractionation,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP187794,PRJNA525913,SRS4460935,SAMN11080702,Capsicum annuum,Sample from Capsicum annuum treated with Abiotic stress Mock_14,SRA856779
SRR8692596,6/11/19 20:52,9729852,289,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR8692596/SRR8692596.1,SRX5488471,RNA-Seq,size fractionation,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP187794,PRJNA525913,SRS4460940,SAMN11080703,Capsicum annuum,Sample from Capsicum annuum treated with Abiotic stress Mock_15,SRA856779
SRR8692595,6/11/19 20:52,9072521,302,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR8692595/SRR8692595.1,SRX5488472,RNA-Seq,size fractionation,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP187794,PRJNA525913,SRS4460941,SAMN11080704,Capsicum annuum,Sample from Capsicum annuum treated with Abiotic stress Mock_16,SRA856779
SRR8692598,6/11/19 20:52,9634517,302,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8692598/SRR8692598.1,SRX5488469,RNA-Seq,size fractionation,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP187794,PRJNA525913,SRS4460938,SAMN11080705,Capsicum annuum,Sample from Capsicum annuum treated with Abiotic stress Mock_17,SRA856779
SRR8692597,6/11/19 20:52,8984225,302,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8692597/SRR8692597.1,SRX5488470,RNA-Seq,size fractionation,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP187794,PRJNA525913,SRS4460939,SAMN11080706,Capsicum annuum,Sample from Capsicum annuum treated with Abiotic stress Mock_18,SRA856779
SRR771927,7/22/15 17:02,46891963,180,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR771927/SRR771927.2,SRX248805,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRP019256,PRJNA193077,SRS400916,SAMN01975412,Capsicum annuum,GSM1096441,SRA068937
SRR8948496,4/25/19 16:37,114864173,200,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8948496/SRR8948496.1,SRX5728489,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP193633,PRJNA534256,SRS4666238,SAMN11482287,Carica papaya,GSM3733617,SRA878839
SRR5405097,4/4/17 0:01,4487415,300,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR5405097/SRR5405097.1,SRX2697676,RNA-Seq,RANDOM PCR,PAIRED,ILLUMINA,HiSeq X Ten,SRP102870,PRJNA381300,SRS2092156,SAMN06673892,Carica papaya,Papaya_leaf_RNA-seq_1,SRA550823
SRR6320584,11/23/17 22:02,3497016,300,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6320584/SRR6320584.1,SRX3420307,RNA-Seq,RANDOM PCR,PAIRED,ILLUMINA,HiSeq X Ten,SRP102870,PRJNA381300,SRS2712173,SAMN08095311,Carica papaya,Papaya_leaf_RNA-seq_2,SRA633660
SRR6011352,7/16/18 17:16,26014121,54,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6011352/SRR6011352.1,SRX3165238,RNA-Seq,cDNA,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRP116916,PRJNA401922,SRS2495960,SAMN07611291,Cicer arietinum,GSM2774020,SRA605688
SRR3313161,1/2/18 9:09,24591336,200,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3313161/SRR3313161.1,SRX1670135,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRP072564,PRJNA316844,SRS1367812,SAMN04590566,Cicer arietinum,GSM2101576,SRA401343
SRR3313162,1/2/18 9:09,25650488,200,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3313162/SRR3313162.1,SRX1670136,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRP072564,PRJNA316844,SRS1367811,SAMN04590567,Cicer arietinum,GSM2101577,SRA401343
SRR3313163,1/2/18 9:09,26304998,200,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR3313163/SRR3313163.1,SRX1670137,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRP072564,PRJNA316844,SRS1367810,SAMN04590568,Cicer arietinum,GSM2101578,SRA401343
SRR3313137,1/2/18 9:09,24238872,200,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3313137/SRR3313137.1,SRX1670111,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRP072563,PRJNA316845,SRS1367788,SAMN04590542,Cicer arietinum,GSM2101552,SRA401342
SRR3313138,1/2/18 9:09,28956406,200,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR3313138/SRR3313138.1,SRX1670112,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRP072563,PRJNA316845,SRS1367787,SAMN04590543,Cicer arietinum,GSM2101553,SRA401342
SRR3313139,1/2/18 9:09,28282884,200,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR3313139/SRR3313139.1,SRX1670113,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRP072563,PRJNA316845,SRS1367786,SAMN04590544,Cicer arietinum,GSM2101554,SRA401342
SRR7155539,5/15/18 16:50,25114321,296,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-14/SRR7155539/SRR7155539.1,SRX4074771,RNA-Seq,cDNA,PAIRED,ILLUMINA,HiSeq X Ten,SRP145489,PRJNA471083,SRS3291956,SAMN09198518,Citrus sinensis,GSM3140498,SRA702968
SRR7155540,5/15/18 16:50,24147659,296,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-14/SRR7155540/SRR7155540.1,SRX4074772,RNA-Seq,cDNA,PAIRED,ILLUMINA,HiSeq X Ten,SRP145489,PRJNA471083,SRS3291957,SAMN09198517,Citrus sinensis,GSM3140499,SRA702968
SRR7155541,5/15/18 16:50,23087785,297,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-14/SRR7155541/SRR7155541.1,SRX4074773,RNA-Seq,cDNA,PAIRED,ILLUMINA,HiSeq X Ten,SRP145489,PRJNA471083,SRS3291958,SAMN09198575,Citrus sinensis,GSM3140500,SRA702968
SRR2046814,6/3/15 20:10,7613995,49,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2046814/SRR2046814.1,SRX1045029,RNA-Seq,cDNA,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRP058943,PRJNA285488,SRS950375,SAMN03754514,Citrus sinensis,GSM1701085,SRA270739
SRR2046815,6/3/15 20:10,7406448,49,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2046815/SRR2046815.1,SRX1045030,RNA-Seq,cDNA,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRP058943,PRJNA285488,SRS950374,SAMN03754515,Citrus sinensis,GSM1701086,SRA270739
SRR2046816,6/3/15 20:10,7239886,49,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2046816/SRR2046816.1,SRX1045031,RNA-Seq,cDNA,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRP058943,PRJNA285488,SRS950373,SAMN03754516,Citrus sinensis,GSM1701087,SRA270739
SRR6448479,1/8/18 13:59,26538992,300,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-14/SRR6448479/SRR6448479.1,SRX3539446,RNA-Seq,cDNA,PAIRED,ILLUMINA,HiSeq X Ten,SRP128320,PRJNA428873,SRS2814343,SAMN08323512,Citrus sinensis,GSM2913983,SRA644647
SRR6448480,1/8/18 13:59,26249079,300,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-14/SRR6448480/SRR6448480.1,SRX3539447,RNA-Seq,cDNA,PAIRED,ILLUMINA,HiSeq X Ten,SRP128320,PRJNA428873,SRS2814344,SAMN08323511,Citrus sinensis,GSM2913984,SRA644647
SRR5465692,5/15/17 17:11,35252959,202,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR5465692/SRR5465692.1,SRX2751699,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP104696,PRJNA383830,SRS2137306,SAMN06808335,Cucumis melo,GSM2586396,SRA556043
SRR5465694,5/15/17 17:11,28617361,202,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR5465694/SRR5465694.1,SRX2751700,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP104696,PRJNA383830,SRS2137307,SAMN06808334,Cucumis melo,GSM2586397,SRA556043
SRR5405112,4/4/17 0:01,4282060,300,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR5405112/SRR5405112.1,SRX2697691,RNA-Seq,RANDOM PCR,PAIRED,ILLUMINA,HiSeq X Ten,SRP102870,PRJNA381300,SRS2092172,SAMN06673877,Cucumis melo,VED_leaf_RNA-seq_1,SRA550823
SRR5405111,4/4/17 0:01,7581254,300,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR5405111/SRR5405111.1,SRX2697690,RNA-Seq,RANDOM PCR,PAIRED,ILLUMINA,HiSeq X Ten,SRP102870,PRJNA381300,SRS2092170,SAMN06673878,Cucumis melo,VED_leaf_RNA-seq_2,SRA550823
SRR5405129,4/4/17 0:01,2998971,300,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR5405129/SRR5405129.1,SRX2697708,RNA-Seq,RANDOM PCR,PAIRED,ILLUMINA,HiSeq X Ten,SRP102870,PRJNA381300,SRS2092188,SAMN06673860,Cucumis sativus,Cucumber_leaf_RNA-seq_1,SRA550823
SRR6320532,11/23/17 22:01,3196493,300,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6320532/SRR6320532.1,SRX3420359,RNA-Seq,RANDOM PCR,PAIRED,ILLUMINA,HiSeq X Ten,SRP102870,PRJNA381300,SRS2712224,SAMN08095293,Cucumis sativus,Cucumber_leaf_RNA-seq_2,SRA633660
SRR8763947,8/7/19 16:29,26682755,75,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8763947/SRR8763947.1,SRX5554454,RNA-Seq,cDNA,SINGLE,ILLUMINA,NextSeq 500,SRP189096,PRJNA528496,SRS4518349,SAMN11192088,Eutrema salsugineum,GSM3682577,SRA863784
SRR2922650,7/11/16 15:27,4489964,151,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR2922650/SRR2922650.1,SRX1436242,RNA-Seq,cDNA,SINGLE,ILLUMINA,NextSeq 500,SRP066358,PRJNA302602,SRS1167218,SAMN04276568,Eutrema salsugineum,GSM1942124,SRA312115
SRR2922651,7/11/16 15:27,4386902,151,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR2922651/SRR2922651.1,SRX1436242,RNA-Seq,cDNA,SINGLE,ILLUMINA,NextSeq 500,SRP066358,PRJNA302602,SRS1167218,SAMN04276568,Eutrema salsugineum,GSM1942124,SRA312115
SRR2922652,7/11/16 15:27,4293912,151,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR2922652/SRR2922652.1,SRX1436242,RNA-Seq,cDNA,SINGLE,ILLUMINA,NextSeq 500,SRP066358,PRJNA302602,SRS1167218,SAMN04276568,Eutrema salsugineum,GSM1942124,SRA312115
SRR2922653,7/11/16 15:27,4063560,151,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR2922653/SRR2922653.1,SRX1436242,RNA-Seq,cDNA,SINGLE,ILLUMINA,NextSeq 500,SRP066358,PRJNA302602,SRS1167218,SAMN04276568,Eutrema salsugineum,GSM1942124,SRA312115
SRR5405080,4/4/17 0:01,8967975,51,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR5405080/SRR5405080.1,SRX2697659,RNA-Seq,RANDOM PCR,SINGLE,ILLUMINA,HiSeq X Ten,SRP102870,PRJNA381300,SRS2092139,SAMN06673909,Fragaria vesca,Strawberry_leaf_RNA-seq_1,SRA550823
SRR6320486,11/23/17 22:00,4105265,300,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6320486/SRR6320486.1,SRX3420405,RNA-Seq,RANDOM PCR,PAIRED,ILLUMINA,HiSeq X Ten,SRP102870,PRJNA381300,SRS2712271,SAMN08095323,Fragaria vesca,Strawberry_leaf_RNA-seq_2,SRA633660
SRR5655561,6/9/17 16:23,45064713,252,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5655561/SRR5655561.1,SRX2892154,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP108748,PRJNA389558,SRS2259914,SAMN07202290,Glycine max,GSM2651508,SRA572005
SRR5655562,6/9/17 16:23,40992368,252,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5655562/SRR5655562.1,SRX2892154,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP108748,PRJNA389558,SRS2259914,SAMN07202290,Glycine max,GSM2651508,SRA572005
SRR5655563,6/9/17 16:23,41929608,252,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5655563/SRR5655563.1,SRX2892154,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP108748,PRJNA389558,SRS2259914,SAMN07202290,Glycine max,GSM2651508,SRA572005
SRR5655564,6/9/17 16:23,44231003,252,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5655564/SRR5655564.1,SRX2892155,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP108748,PRJNA389558,SRS2259915,SAMN07202289,Glycine max,GSM2651509,SRA572005
SRR5655565,6/9/17 16:23,48748025,252,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5655565/SRR5655565.1,SRX2892156,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP108748,PRJNA389558,SRS2259916,SAMN07202288,Glycine max,GSM2651510,SRA572005
SRR5655566,6/9/17 16:23,50676030,252,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5655566/SRR5655566.1,SRX2892157,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP108748,PRJNA389558,SRS2259917,SAMN07202287,Glycine max,GSM2651511,SRA572005
SRR5655567,6/9/17 16:23,52559204,252,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5655567/SRR5655567.1,SRX2892158,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP108748,PRJNA389558,SRS2259918,SAMN07202286,Glycine max,GSM2651512,SRA572005
SRR5655568,6/9/17 16:23,42618397,252,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5655568/SRR5655568.1,SRX2892159,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP108748,PRJNA389558,SRS2259919,SAMN07202285,Glycine max,GSM2651513,SRA572005
SRR5655569,6/9/17 16:23,54860883,252,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5655569/SRR5655569.1,SRX2892160,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP108748,PRJNA389558,SRS2259920,SAMN07202284,Glycine max,GSM2651514,SRA572005
SRR5655570,6/9/17 16:23,49464536,252,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5655570/SRR5655570.1,SRX2892161,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP108748,PRJNA389558,SRS2259921,SAMN07202283,Glycine max,GSM2651515,SRA572005
SRR5655571,6/9/17 16:23,48017184,252,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5655571/SRR5655571.1,SRX2892162,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP108748,PRJNA389558,SRS2259922,SAMN07202282,Glycine max,GSM2651516,SRA572005
SRR5655572,6/9/17 16:23,48829420,252,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5655572/SRR5655572.1,SRX2892162,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP108748,PRJNA389558,SRS2259922,SAMN07202282,Glycine max,GSM2651516,SRA572005
SRR5655573,6/9/17 16:23,49409407,252,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5655573/SRR5655573.1,SRX2892162,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP108748,PRJNA389558,SRS2259922,SAMN07202282,Glycine max,GSM2651516,SRA572005
SRR5655574,6/9/17 16:23,56233462,252,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5655574/SRR5655574.1,SRX2892163,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP108748,PRJNA389558,SRS2259923,SAMN07202281,Glycine max,GSM2651517,SRA572005
SRR5655575,6/9/17 16:23,43236374,252,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5655575/SRR5655575.1,SRX2892164,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP108748,PRJNA389558,SRS2259924,SAMN07202280,Glycine max,GSM2651518,SRA572005
SRR5655576,6/9/17 16:23,49057899,252,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5655576/SRR5655576.1,SRX2892165,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP108748,PRJNA389558,SRS2259925,SAMN07202279,Glycine max,GSM2651519,SRA572005
SRR5655577,6/9/17 16:23,52383683,252,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5655577/SRR5655577.1,SRX2892166,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP108748,PRJNA389558,SRS2259926,SAMN07202278,Glycine max,GSM2651520,SRA572005
SRR5655578,6/9/17 16:23,46082516,252,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5655578/SRR5655578.1,SRX2892167,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP108748,PRJNA389558,SRS2259927,SAMN07202277,Glycine max,GSM2651521,SRA572005
SRR5655579,6/9/17 16:23,53980882,252,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5655579/SRR5655579.1,SRX2892168,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP108748,PRJNA389558,SRS2259928,SAMN07202276,Glycine max,GSM2651522,SRA572005
SRR5655580,6/9/17 16:23,54280407,252,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5655580/SRR5655580.1,SRX2892169,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP108748,PRJNA389558,SRS2259929,SAMN07202275,Glycine max,GSM2651523,SRA572005
SRR5655581,6/9/17 16:23,52838820,252,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5655581/SRR5655581.1,SRX2892170,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP108748,PRJNA389558,SRS2259930,SAMN07202274,Glycine max,GSM2651524,SRA572005
SRR5655582,6/9/17 16:23,53749418,252,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5655582/SRR5655582.1,SRX2892171,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP108748,PRJNA389558,SRS2259931,SAMN07202273,Glycine max,GSM2651525,SRA572005
SRR5655583,6/9/17 16:23,44319554,252,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5655583/SRR5655583.1,SRX2892172,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP108748,PRJNA389558,SRS2259932,SAMN07202272,Glycine max,GSM2651526,SRA572005
SRR5655584,6/9/17 16:23,50897547,252,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5655584/SRR5655584.1,SRX2892173,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP108748,PRJNA389558,SRS2259933,SAMN07202271,Glycine max,GSM2651527,SRA572005
SRR5655585,6/9/17 16:23,56614267,252,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5655585/SRR5655585.1,SRX2892174,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP108748,PRJNA389558,SRS2259934,SAMN07202270,Glycine max,GSM2651528,SRA572005
SRR5655586,6/9/17 16:23,52149569,252,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5655586/SRR5655586.1,SRX2892175,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP108748,PRJNA389558,SRS2259935,SAMN07202269,Glycine max,GSM2651529,SRA572005
SRR5655587,6/9/17 16:23,41169805,252,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5655587/SRR5655587.1,SRX2892176,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP108748,PRJNA389558,SRS2259936,SAMN07202268,Glycine max,GSM2651530,SRA572005
SRR5655588,6/9/17 16:23,52622202,252,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5655588/SRR5655588.1,SRX2892177,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP108748,PRJNA389558,SRS2259937,SAMN07202267,Glycine max,GSM2651531,SRA572005
SRR5655589,6/9/17 16:23,48992499,252,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5655589/SRR5655589.1,SRX2892178,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP108748,PRJNA389558,SRS2259938,SAMN07202266,Glycine max,GSM2651532,SRA572005
SRR5655590,6/9/17 16:23,54483155,252,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5655590/SRR5655590.1,SRX2892179,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP108748,PRJNA389558,SRS2259939,SAMN07202265,Glycine max,GSM2651533,SRA572005
SRR5655591,6/9/17 16:23,56566191,252,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5655591/SRR5655591.1,SRX2892180,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP108748,PRJNA389558,SRS2259940,SAMN07202264,Glycine max,GSM2651534,SRA572005
SRR5655592,6/9/17 16:23,50740595,252,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5655592/SRR5655592.1,SRX2892181,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP108748,PRJNA389558,SRS2259941,SAMN07202292,Glycine max,GSM2651535,SRA572005
SRR5655593,6/9/17 16:23,55871426,252,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5655593/SRR5655593.1,SRX2892182,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP108748,PRJNA389558,SRS2259942,SAMN07202294,Glycine max,GSM2651536,SRA572005
SRR5655594,6/9/17 16:23,57776893,252,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5655594/SRR5655594.1,SRX2892183,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP108748,PRJNA389558,SRS2259943,SAMN07202296,Glycine max,GSM2651537,SRA572005
SRR5655595,6/9/17 16:23,37348627,252,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5655595/SRR5655595.1,SRX2892184,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP108748,PRJNA389558,SRS2259944,SAMN07202263,Glycine max,GSM2651538,SRA572005
SRR5655596,6/9/17 16:23,40626207,252,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5655596/SRR5655596.1,SRX2892185,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP108748,PRJNA389558,SRS2259945,SAMN07202291,Glycine max,GSM2651539,SRA572005
SRR5655597,6/9/17 16:23,53492022,252,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5655597/SRR5655597.1,SRX2892186,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP108748,PRJNA389558,SRS2259946,SAMN07202293,Glycine max,GSM2651540,SRA572005
SRR5655598,6/9/17 16:23,51456569,252,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5655598/SRR5655598.1,SRX2892187,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP108748,PRJNA389558,SRS2259947,SAMN07202295,Glycine max,GSM2651541,SRA572005
SRR5655599,6/9/17 16:23,41383249,252,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5655599/SRR5655599.1,SRX2892188,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP108748,PRJNA389558,SRS2259948,SAMN07202297,Glycine max,GSM2651542,SRA572005
SRR5655600,6/9/17 16:23,46358987,252,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5655600/SRR5655600.1,SRX2892189,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP108748,PRJNA389558,SRS2259949,SAMN07202298,Glycine max,GSM2651543,SRA572005
